"Turma","Qual sua faixa etária?","qual o seu gênero?","Selecione seu curso","Quantas disciplinas você matriculou para cursar no semestre?","Que tão motivado se sente em trabalhar em grupo de forma remota?","Qual a disponibilidade de tempo para cursar as disciplinas do semestre?","Selecione as disciplinas nas quais você tenha algum conhecimento ou que já cursou","Sugira um Aplicativo de Comunicação ","Qual o seu nível de experiência utilizando Git/GitHub ou outros sistemas de versionamento?","Qual a sua experiência em teste de software e no uso de ferramentas de teste unitário como JUnit,  Jest ou outras?","Qual a sua experiência no uso de sistemas de integração contínua como Jenkins?","Qual a sua experiência no desenvolvimento de software seguindo métodos ágeis?","Qual a sua experiência no gerenciamento de projetos ágeis?","Em quais das seguintes linguagens de programação você tem experiência?","Quais sistemas de gerenciamento de base de dados tem utilizado?","Qual sua experiência previa no desenvolvimento de software? Por exemplo, como estagiário, freelancer, ou participando em projetos open source, de IC/TCC, entre outros...","Em quais frameworks ou IDEs de desenvolvimento tem experiência?","Como considera seu nível de proficiência em leitura e escuta do Inglês?","Possui uma ideia de SI que possa ser explorada por você e seu grupo durante a disciplina? Se sim, faça uma breve descrição da ideia do SI. (Essa informação ajudará a formar os grupos e definir os projetos da disciplina). ","Em quais dos seguintes tipos de software você sente motivação de trabalhar?","Para quais dominios você teria interesse de construir software?"
2021,"23 a 25 anos","Homem","Sistemas de Informação",1,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,4,1,"Java, JavaScript, PHP","MySQL","Experiência na indústria, como freelancer ou com projetos open-source < 1 ano","Netbeans, Visual Studio Code, Atom",5,"Não","Aplicativos Web/Mobile","Saúde, Finanças, e-Commerce"
2021,"18 a 22 anos","Mulher","Sistemas de Informação",6,2,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",2,1,1,1,1,"Java, C","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Netbeans, Eclipse, Visual Studio Code",4,"Sim. Tenho um projeto parado de desenvolvimento de um software para calculo no domínio de uma marmoraria.","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas de Big Data","Transporte, e-Commerce, Construção Civil"
2021,"26 a 29 anos","Homem","Sistemas de Informação",3,4,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,1,1,4,1,"JavaScript","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",4,"Projetos com desenvolvimento de API, comunicação com bancos não relacionais. Design Patterns além de MVC ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente, Transporte, Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",3,4,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,1,1,3,2,"Java, Python","PostgreSQL","Experiência adquirida em projetos de IC/TCC","Netbeans, Visual Studio Code, PyCharm",4,"Sem uma ideia de fato ainda.","Aplicativos Web/Mobile, Sistemas de Big Data","Sociedade, Saúde, Finanças, e-Commerce"
2021,"23 a 25 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Desenvolvimento Web, Base de Dados","Discord",3,1,1,3,2,"Java, JavaScript, html, css, php","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3,"Automatização de dados","Aplicativos Web/Mobile, Sistemas de IoT, Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Sociedade, Finanças, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,3,"Dividir tempo com o trabalho e o Trabalho Final de Graduação","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",3,1,1,3,1,"Java, Python, JavaScript","MySQL, PostgreSQL","Experiência adquirida em projetos de IC/TCC","Netbeans, Eclipse, Visual Studio Code",2,"não","Aplicativos Web/Mobile","e-Commerce"
2021,"23 a 25 anos","Homem","Sistemas de Informação",5,1,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",3,1,1,4,3,"Java, Python, C, C#","MySQL, PostgreSQL, Firebase","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code, PyCharm",5,"No estágio participo em algumas análises de BI, seria interessante uma automatização da exportação dos dados gerados por dashboards

É como se fosse uma consulta à uma planilha (baixável) utilizando uma API, sem a necessidade de abrir pelo navegador e baixar... acontece que em grande escala (por exemplo, o Dashboard gera uma planilha por dia e você quer analisar o mês inteiro) acaba demandando muito tempo ","Sistemas de Big Data, Games, Sistemas baseados em Serviços / Cloud","Finanças"
2021,"23 a 25 anos","Homem","Sistemas de Informação",5,4,"Preciso dividir o tempo com o trabalho","Todas","Telegram",4,2,1,4,4,"JavaScript, PHP, TypeScript","MySQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Netbeans, Eclipse, Visual Studio Code, PyCharm",4,"Sistema de gerenciamento de clínica para usuários profissionais na área da saúde, gerando um ambiente de consultório online e consulta e acompanhamento médico a pacientes. Com indicação de receitas e medicamentos favorecendo farmácias e ambulatórios parceiros. ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Transporte, Finanças, e-Commerce"
2021,"23 a 25 anos","Mulher","Sistemas de Informação",2,3,"Preciso dividir meu tempo entre estágio, faculdade e trabalho.","Engenharia de Software, Desenvolvimento Web","Discord",1,1,1,1,2,"Java, JavaScript","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",1,"Não.","Aplicativos Web/Mobile","Saúde, Meio ambiente"
2021,"23 a 25 anos","Mulher","Sistemas de Informação",5,3,"Pretendo ter dedicação exclusiva (40h por semana)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",3,1,1,2,1,"Python, JavaScript, C/C++","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Eclipse, Visual Studio Code",4,"Ainda não tive nenhuma ideia","Aplicativos Web/Mobile, Sistemas robóticos / autônomos, Games","Sociedade, Saúde, Educação, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,5,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados, Padrões de projeto, Arquitetura de software","Discord",4,1,1,1,1,"Python, JavaScript, PHP","MySQL, PostgreSQL, Firebase","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",5,"Não possuo.","Aplicativos Web/Mobile","Sociedade, Meio ambiente, Finanças, e-Commerce"
2021,"26 a 29 anos","Homem","Sistemas de Informação",6,4,"Preciso dividir o tempo com o TCC.","Engenharia de Software, Base de Dados","Telegram",1,1,1,1,1,"Python","MySQL, PostgreSQL","Experiência adquirida em projetos de disciplinas","Visual Studio Code",3,"Nenhum ideia.","Sistemas de IoT, Sistemas de Big Data, Sistemas baseados em Serviços / Cloud","Saúde, Transporte, e-Commerce"
2021,"18 a 22 anos","Homem","Sistemas de Informação",7,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",3,1,1,1,3,"Python","MySQL, PostgreSQL, MongoDB","Experiência adquirida em projetos de disciplinas","Visual Studio Code",2,"Não tenho ideias. ","Sistemas robóticos / autônomos, Sistemas de IoT, Games","Sociedade, e-Commerce"
2021,"26 a 29 anos","Homem","Sistemas de Informação",7,3,"Preciso dividir o tempo com o trabalho","Engenharia de Software, Desenvolvimento Web, Base de Dados","WhatsApp",2,1,1,2,1,"Java, JavaScript, php","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",2,"Ideia específica não, mas algo voltado a Web.  ","Aplicativos Web/Mobile, Sistemas de IoT, Games","Educação, Transporte, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",6,3,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados, Arquitetura de software","Discord",3,1,1,1,1,"Java, Python, JavaScript, C#, C","MySQL","Experiência adquirida em projetos de disciplinas","Netbeans, Visual Studio Code",5," ","Aplicativos Web/Mobile, Sistemas de IoT, Games","Sociedade, Saúde, Educação, Transporte, e-Commerce"
2022,"18 a 22 anos","Homem","Sistemas de Informação",5,5,"Preciso dividir o tempo com atividades extra (estágio, iniciação científica, tcc)","Engenharia de Software, Desenvolvimento Web, Base de Dados","Discord",4,2,1,4,2,"Python, JavaScript, Dart","MySQL, PostgreSQL","Experiência na indústria, como freelancer  ou com projetos open-source entre 2 a 5 anos","Visual Studio Code",3," ","Aplicativos Web/Mobile, Sistemas baseados em Serviços / Cloud","Sociedade, Saúde, Educação, Meio ambiente"
